Last Write Time Hive Offset     Type    Key     Name    Data    Volatile
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .log            False
2023-01-09 20:11:04.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .loop           False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m1v            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m2t            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m2ts           False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m2v            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m3u            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m3u8           False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m4a            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m4r            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .m4v            False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .mdc            False
2023-01-09 20:25:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .mef            False
2023-01-09 20:28:37.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .mk3d           False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .mka            False
2023-01-09 20:10:57.000000      0xd30c829bc000  Key     \??\C:\Users\Spongebob\AppData\Local\Microsoft\Windows\UsrClass.dat     .mkv            False
